ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
28,1872,associate's degree,89214,3.6,3.3,8
28,1853,high school,38141,3.5,3.3,5
32,2100,associate's degree,75389,4.0,3.6,4
28,1942,associate's degree,66989,3.7,3.7,5
26,1883,some high school,66596,3.5,3.4,4
26,1844,some high school,63669,3.5,2.9,5
33,2370,associate's degree,82203,4.0,3.6,4
26,1823,some college,60131,3.4,3.3,5
28,1924,some college,41139,3.5,2.9,6
30,2145,some college,51516,4.0,3.3,4
32,2259,master's degree,78136,4.0,3.6,5
27,1823,some high school,14258,3.2,2.7,7
24,1808,some high school,21287,3.3,3.1,8
27,1917,bachelor's degree,90192,3.5,3.4,5
27,1869,high school,73017,3.4,3.1,5
28,2091,associate's degree,84284,3.8,3.7,7
33,2082,high school,40507,4.0,3.5,5
34,2173,some college,68001,4.0,3.3,5
28,2009,master's degree,78526,3.9,3.7,3
30,2153,some college,75348,4.0,3.5,4
29,2114,associate's degree,70576,4.0,3.2,8
30,2005,bachelor's degree,59041,3.7,2.9,5
31,2153,master's degree,94093,4.0,3.7,4
26,1878,high school,64103,3.2,3.4,6
32,2097,high school,64017,4.0,3.5,4
29,1997,some college,70761,3.8,3.4,4
27,1850,high school,48128,3.5,3.1,6
27,1995,some college,59190,3.9,3.7,7
33,2210,high school,51158,4.0,3.5,4
23,1797,some college,56258,3.3,3.2,4
31,2101,bachelor's degree,95320,4.0,3.8,4
27,2048,bachelor's degree,105832,3.7,3.5,5
28,2055,some college,66893,4.0,3.5,5
29,2026,some high school,42498,3.9,2.8,7
28,1967,some college,70469,3.7,3.5,5
27,2050,some high school,71711,3.7,3.5,4
27,1956,some college,82219,3.8,3.4,5
29,1942,some high school,84860,3.7,3.5,8
33,2240,associate's degree,87915,4.0,3.7,4
29,2044,bachelor's degree,104367,4.0,3.9,3
25,1859,some high school,18654,3.2,2.6,9
31,2190,some college,38428,4.0,3.3,5
30,2098,bachelor's degree,86250,4.0,3.6,4
31,2210,master's degree,105501,4.0,3.5,6
33,2274,associate's degree,69476,4.0,3.8,5
25,1669,some high school,43350,3.1,3.2,7
28,2061,some college,59889,3.8,3.2,4
25,1830,bachelor's degree,76663,3.3,3.3,7
32,2282,bachelor's degree,74454,4.0,3.3,5
28,1975,some high school,45204,3.7,3.2,5
29,1975,associate's degree,89816,3.8,3.4,5
32,2245,master's degree,102266,4.0,3.7,4
31,2148,some college,90949,4.0,3.5,4
28,2009,master's degree,84781,3.8,3.2,5
30,2026,some college,56751,3.9,3.2,6
34,2314,associate's degree,77843,4.0,3.7,4
28,2020,some college,75498,3.8,3.2,9
31,2214,master's degree,79797,4.0,3.5,4
28,1974,some college,47572,3.6,3.2,5
30,2120,associate's degree,89372,4.0,3.9,3
21,1591,some high school,55496,2.7,3.1,4
26,1894,bachelor's degree,99947,3.6,3.3,4
26,1772,associate's degree,94183,3.3,3.2,5
27,1976,associate's degree,83670,3.6,3.2,5
23,1771,high school,52836,3.1,2.7,6
30,2091,high school,57148,3.9,3.3,4
33,2210,high school,44641,4.0,3.3,6
30,2094,associate's degree,81179,4.0,3.4,8
28,1981,high school,61581,3.7,3.4,4
26,1776,some high school,22836,3.3,2.9,5
29,1912,bachelor's degree,80064,3.7,3.0,5
28,1975,some college,55079,3.7,3.4,6
29,2045,some college,62513,3.8,3.1,5
31,2151,bachelor's degree,101195,4.0,3.5,4
23,1683,some high school,49121,3.0,2.8,6
25,1898,associate's degree,45471,3.5,3.2,5
34,2230,associate's degree,79526,4.0,3.5,4
31,2154,some college,82303,4.0,3.7,6
26,1861,high school,71060,3.4,3.3,7
26,1825,some college,93593,3.3,3.4,4
27,1870,high school,65314,3.5,3.5,4
34,2185,high school,60452,4.0,3.9,3
27,1879,some college,72488,3.4,3.3,4
23,1769,some high school,41568,3.1,3.4,4
27,2075,bachelor's degree,46254,3.9,3.5,4
30,2175,some high school,56800,4.0,3.4,4
30,1995,some college,79893,3.9,3.4,4
25,1828,some college,58257,3.2,3.1,4
32,2190,associate's degree,72019,4.0,3.3,5
27,1825,high school,69432,3.4,3.2,7
30,2159,associate's degree,80955,4.0,3.7,4
24,1777,some college,57258,3.3,3.2,5
30,2114,bachelor's degree,55155,4.0,3.2,4
33,2189,some college,59513,4.0,3.4,5
23,1727,high school,42404,3.1,3.4,6
31,2097,some college,68368,4.0,3.8,3
29,2023,associate's degree,80307,3.8,3.3,7
30,2101,some college,83488,4.0,3.7,4
25,1705,some high school,47590,3.1,3.3,8
29,2090,associate's degree,78775,4.0,3.4,4
29,2041,associate's degree,64645,3.9,3.3,8
25,1798,some college,70832,3.4,3.4,6
32,2154,master's degree,86747,4.0,3.4,4
30,2038,some college,77955,3.9,3.3,5
30,2003,some high school,49770,3.7,3.2,5
30,2143,some college,58912,3.9,3.4,4
34,2286,associate's degree,70541,4.0,3.5,4
27,2125,master's degree,90971,3.9,3.7,3
28,1999,associate's degree,66038,3.8,3.4,6
30,2012,some college,69182,4.0,3.8,3
31,2127,bachelor's degree,102132,4.0,3.7,5
28,2009,some high school,53540,3.8,3.4,6
29,1900,high school,44438,3.6,3.4,5
29,2030,high school,52185,3.8,3.0,6
29,2108,some college,77014,4.0,3.4,5
26,1741,high school,71779,3.2,3.4,5
26,1907,some high school,46386,3.5,3.0,7
27,1975,some college,50180,3.7,3.4,4
26,1916,some college,79287,3.5,3.3,4
29,1954,some college,78411,3.9,3.7,7
28,2002,some high school,60929,3.7,3.1,5
31,2133,bachelor's degree,48764,4.0,3.5,4
29,2066,some college,48844,3.9,3.3,5
29,1998,high school,73665,3.8,3.4,8
27,1961,bachelor's degree,91679,3.7,3.3,4
31,2183,associate's degree,80565,4.0,3.7,4
23,1700,some high school,34935,3.0,3.3,4
33,2161,master's degree,107269,4.0,3.4,5
32,2149,associate's degree,98400,4.0,3.6,5
24,1786,some high school,58154,3.2,3.3,6
31,2045,some high school,56330,3.9,3.6,3
28,1940,some college,45383,3.8,3.5,7
27,1978,high school,70984,3.8,3.4,4
30,2019,some college,84292,4.0,3.1,6
32,2075,associate's degree,86646,4.0,3.8,5
31,2090,high school,82793,4.0,3.7,4
29,2065,master's degree,105181,3.8,3.8,3
30,2151,associate's degree,87203,4.0,3.2,8
31,2040,some college,67524,4.0,3.5,4
29,2018,high school,86351,3.8,3.2,5
31,2135,high school,64825,4.0,3.6,4
24,1871,some college,76222,3.4,3.4,4
24,1839,some high school,56663,3.2,3.5,3
28,1954,some college,59863,3.6,3.3,4
28,1994,associate's degree,52328,3.7,3.3,4
30,2112,associate's degree,61705,4.0,3.5,7
30,2044,high school,75575,3.9,3.5,4
27,1818,some high school,36559,3.4,3.4,4
26,1819,high school,86918,3.3,3.4,4
30,2074,some college,72753,3.9,3.5,4
32,2268,bachelor's degree,86091,4.0,3.6,4
27,1946,some college,68152,3.6,3.7,4
30,2065,associate's degree,76043,3.9,3.8,7
25,1850,some college,73898,3.3,3.3,4
31,2170,bachelor's degree,98117,4.0,3.7,5
31,2197,some high school,69731,4.0,3.6,6
27,1958,some college,42857,3.6,3.4,4
33,2322,associate's degree,63779,4.0,3.5,4
26,1972,some high school,57956,3.6,3.4,8
29,1923,some college,79101,3.7,2.9,6
32,2225,bachelor's degree,96014,4.0,3.6,4
28,1980,high school,79487,3.7,3.6,7
30,2005,bachelor's degree,85704,3.8,3.3,4
29,1977,some college,49813,3.8,3.2,7
28,2046,associate's degree,84120,3.7,3.8,5
30,2115,some high school,39396,4.0,3.6,6
27,1962,high school,49041,3.5,3.2,8
32,2037,high school,62918,4.0,3.4,4
27,1939,bachelor's degree,104966,3.6,3.3,5
30,1976,some high school,62949,3.8,3.3,4
30,2156,associate's degree,74697,4.0,3.7,5
28,1975,master's degree,80049,3.7,3.5,4
25,1910,some high school,32202,3.4,3.3,5
29,1980,high school,38280,3.6,3.1,6
28,1887,some high school,56494,3.5,3.0,5
25,1832,some high school,62821,3.3,3.1,4
25,1721,some high school,34967,3.1,3.2,9
29,2017,high school,34920,3.7,3.1,5
31,2097,associate's degree,66875,3.9,3.6,7
32,2209,some college,49548,4.0,3.8,4
28,2074,some college,47680,3.9,3.0,7
29,1940,high school,45636,3.7,3.3,6
30,1987,master's degree,91651,3.7,3.6,8
28,2114,master's degree,79122,3.9,3.4,4
29,1975,some college,59360,3.7,3.0,6
29,2044,some college,54304,3.7,3.1,5
28,1966,some college,68171,3.6,3.4,5
28,1843,some college,43087,3.4,3.3,4
29,2061,some high school,54086,3.8,3.6,4
27,1850,associate's degree,61773,3.5,3.6,3
31,2252,some college,81010,4.0,3.7,4
30,2159,some high school,78160,4.0,3.2,6
28,1904,high school,52001,3.7,3.2,7
28,1932,high school,79295,3.6,3.3,6
28,1935,high school,40919,3.6,3.1,6
29,1969,some college,65953,3.8,3.2,7
27,1966,associate's degree,59951,3.7,3.1,8
26,1850,some college,66259,3.4,3.6,3
30,2098,associate's degree,71475,4.0,3.7,3
30,1951,high school,58137,3.6,3.6,6
27,1910,master's degree,113991,3.6,3.7,6
24,1766,some high school,50976,3.1,3.3,4
29,2060,associate's degree,65399,3.8,3.3,4
27,1775,high school,70183,3.3,3.2,4
29,2054,associate's degree,36632,4.0,3.3,5
25,1829,some high school,43151,3.4,3.0,6
29,1955,high school,43661,3.6,3.4,7
29,1965,high school,51484,3.7,3.0,8
29,1967,some college,49550,3.7,3.3,5
25,1784,high school,78150,3.1,3.3,4
31,2017,some high school,46193,3.9,3.6,4
32,2168,master's degree,87315,4.0,3.6,4
29,2008,some college,76386,3.7,3.4,7
30,1958,associate's degree,52619,3.7,3.2,4
30,2025,high school,27326,3.9,3.2,6
32,2135,associate's degree,83154,4.0,3.5,8
29,1976,associate's degree,55864,3.9,3.0,5
26,1814,some college,62849,3.3,3.0,7
28,2009,some college,62771,3.8,3.2,7
27,1957,some college,64200,3.5,3.4,4
29,2025,some college,74341,3.8,3.7,3
27,1895,some college,66734,3.4,3.4,7
30,2096,associate's degree,68141,3.8,3.5,4
20,1614,high school,73194,2.8,3.3,3
28,1918,high school,56097,3.5,3.5,7
31,2138,master's degree,96610,4.0,3.5,4
32,2261,master's degree,98299,4.0,3.7,4
25,1763,some high school,54587,3.2,3.0,5
33,2342,associate's degree,81544,4.0,3.9,3
27,1857,associate's degree,97339,3.4,3.5,4
31,2159,some college,68653,4.0,3.2,7
29,2106,some college,39709,3.9,3.5,4
25,1923,high school,30905,3.6,3.0,6
27,2011,some high school,31270,3.7,3.3,5
26,1831,some college,55083,3.4,3.5,4
32,2263,associate's degree,82067,4.0,3.5,5
30,2070,some college,79023,4.0,3.2,8
28,1964,some college,73055,3.7,3.6,5
22,1689,some high school,77859,2.8,3.1,4
29,1984,associate's degree,79192,3.8,3.4,5
27,1873,some college,68679,3.6,3.2,4
24,1750,high school,56230,3.2,3.1,4
30,2064,high school,37535,3.9,3.5,4
28,2055,high school,83268,3.8,3.7,5
24,1790,high school,86039,3.3,3.6,3
34,2212,associate's degree,92520,4.0,3.8,4
29,2025,some high school,58533,3.6,3.3,4
36,2317,master's degree,85150,4.0,3.8,5
29,2012,some high school,43620,3.8,3.3,5
28,1965,high school,72319,3.7,3.0,6
33,2266,associate's degree,53184,4.0,3.5,4
26,1903,master's degree,65954,3.5,3.2,4
25,1785,some high school,30895,3.1,3.0,5
28,2032,associate's degree,66967,3.9,3.0,5
34,2185,high school,54428,4.0,3.7,5
27,1880,some college,77391,3.5,3.2,4
28,1979,high school,55309,3.6,3.5,3
32,2098,some high school,56044,3.9,3.5,4
25,1910,high school,65163,3.5,3.7,3
29,2077,associate's degree,85985,3.9,3.3,5
31,2115,some high school,33225,4.0,3.3,5
32,2108,associate's degree,62716,4.0,3.1,5
29,2057,some high school,64797,3.9,3.0,5
29,1882,high school,52731,3.5,3.5,3
28,2062,associate's degree,60285,3.7,3.3,4
27,1975,some high school,38310,3.8,3.4,6
28,1955,some college,85068,3.7,3.4,4
31,2229,some college,52105,4.0,3.4,4
25,1848,some high school,49666,3.3,3.0,5
31,2001,some high school,41660,3.8,3.3,6
30,1965,high school,62364,3.9,3.1,5
30,2166,bachelor's degree,80220,4.0,3.5,4
26,1853,high school,49522,3.4,3.3,5
33,2100,associate's degree,38257,4.0,3.3,6
26,1793,some high school,37148,3.4,3.4,4
29,2064,associate's degree,58831,3.9,3.3,7
27,2010,associate's degree,58642,3.7,3.6,3
35,2297,associate's degree,50581,4.0,3.4,7
28,2064,associate's degree,73808,3.9,3.3,4
26,1886,high school,38434,3.5,3.2,9
25,1795,some college,35433,3.2,3.0,5
28,2013,bachelor's degree,85956,3.7,3.5,4
29,1915,high school,66509,3.6,3.4,4
30,2010,some college,67817,3.9,3.5,5
29,1919,some high school,31322,3.8,3.2,7
30,2098,some high school,64461,3.9,3.5,4
28,1969,bachelor's degree,78993,3.8,3.0,5
29,1910,associate's degree,90554,3.7,3.7,4
27,1907,some high school,33956,3.5,3.3,5
26,1823,high school,75468,3.3,3.2,4
27,1978,associate's degree,59677,3.7,3.6,4
28,1963,associate's degree,49664,3.8,3.3,5
32,1997,some high school,47718,3.9,3.6,5
24,1838,some high school,88289,3.4,3.4,4
27,1820,high school,63491,3.4,3.5,6
32,2178,associate's degree,69317,4.0,3.6,6
29,2082,associate's degree,64822,4.0,3.3,7
34,2353,master's degree,102506,4.0,3.7,4
27,1985,high school,46640,3.7,3.0,6
27,2060,some high school,47955,3.8,3.3,6
25,1800,some college,62350,3.2,3.4,3
28,2008,some college,60292,3.7,3.6,7
28,1928,high school,62869,3.7,3.2,5
29,2043,bachelor's degree,82966,3.9,3.8,4
33,2259,master's degree,98524,4.0,3.8,4
28,1974,associate's degree,61079,3.7,3.5,4
29,2054,master's degree,105925,3.9,3.7,4
24,1711,some high school,49485,3.0,2.8,9
29,2024,some college,58036,3.7,3.2,7
28,1883,associate's degree,98983,3.5,3.5,4
30,2143,bachelor's degree,80404,4.0,3.6,5
29,1974,associate's degree,60746,3.7,3.3,4
30,2158,associate's degree,57546,4.0,3.4,4
29,2015,associate's degree,92969,3.8,3.6,7
36,2346,bachelor's degree,97607,4.0,3.9,5
31,2114,bachelor's degree,98807,4.0,3.3,5
25,1765,some high school,77273,3.1,3.4,4
29,2031,some college,46125,3.9,3.4,7
29,2007,associate's degree,89952,3.8,3.6,8
32,2071,some high school,44587,4.0,3.5,4
27,1944,some high school,48191,3.6,3.4,4
25,1795,some high school,51380,3.2,3.1,4
35,2298,associate's degree,121274,4.0,3.9,6
26,1916,associate's degree,81331,3.6,3.1,7
30,2032,high school,50121,3.9,3.4,4
31,2044,some college,59091,4.0,3.3,7
29,1981,some high school,58000,3.8,3.5,4
30,2096,some college,63251,4.0,3.4,4
29,2114,high school,41091,4.0,3.1,6
30,2088,bachelor's degree,76602,3.9,3.4,5
30,2075,associate's degree,66862,4.0,3.8,4
29,2012,associate's degree,59603,3.9,3.5,4
23,1781,some high school,36376,3.1,3.1,5
29,2139,some college,62012,4.0,3.3,5
27,1971,bachelor's degree,49187,3.6,3.1,9
30,2160,associate's degree,54400,4.0,3.2,7
32,2152,associate's degree,76262,4.0,3.4,7
23,1746,some college,68246,3.1,2.9,6
27,1978,master's degree,108031,3.6,3.7,5
33,2335,bachelor's degree,83370,4.0,3.4,5
28,1929,some high school,55675,3.6,3.2,4
21,1696,associate's degree,48162,3.1,3.0,5
33,2194,some college,73643,4.0,3.4,5
21,1567,associate's degree,68817,2.8,3.2,7
34,2270,associate's degree,94733,4.0,3.5,5
25,1903,high school,65090,3.6,3.5,4
29,2054,high school,42555,3.8,2.9,6
26,1731,associate's degree,70673,3.3,3.3,4
30,2101,master's degree,102130,4.0,3.7,6
27,2040,master's degree,77779,3.8,3.1,5
28,1982,high school,36781,3.8,3.4,6
29,2076,bachelor's degree,81663,4.0,3.5,6
30,1988,high school,48835,3.9,3.5,7
25,1804,some high school,41640,3.3,3.2,5
28,1995,some college,76131,3.7,2.9,7
29,2045,master's degree,87364,3.8,3.6,3
30,2093,high school,95901,3.9,3.7,5
26,1890,associate's degree,77876,3.5,3.4,6
25,1812,some high school,81971,3.3,3.3,4
28,2013,some college,77248,3.8,3.4,4
25,1820,some high school,66582,3.3,3.5,3
32,2172,bachelor's degree,83805,4.0,3.3,5
33,2210,some college,91593,4.0,3.6,4
29,1992,associate's degree,78782,3.9,3.6,5
26,1878,some high school,36729,3.4,3.2,5
33,2255,associate's degree,86761,4.0,3.7,4
31,2031,high school,72817,3.9,3.5,4
24,1956,associate's degree,79138,3.6,3.2,5
29,2054,associate's degree,75039,4.0,3.5,4
30,2069,associate's degree,71462,3.9,3.2,7
25,1839,bachelor's degree,83972,3.4,3.2,7
29,1984,associate's degree,83414,3.8,3.3,6
28,2015,some college,67743,3.7,3.5,4
25,1891,associate's degree,48777,3.5,3.0,8
26,2012,some college,68632,3.8,3.1,5
27,1875,bachelor's degree,49614,3.6,3.1,5
30,2133,master's degree,91461,4.0,3.8,3
33,2257,some college,58720,4.0,3.8,3
32,2124,bachelor's degree,102422,4.0,3.5,5
27,1834,some college,61166,3.4,3.2,4
29,2026,some college,81718,3.9,3.5,6
33,2115,associate's degree,51928,4.0,3.6,3
29,2073,some college,70556,3.8,3.4,5
24,1795,some high school,41701,3.2,3.3,4
28,1946,some college,98342,3.9,3.7,3
29,1996,associate's degree,101614,3.9,3.4,6
34,2131,some college,76551,4.0,3.3,6
27,1944,high school,59000,3.7,3.3,6
25,1784,some high school,43448,3.3,3.1,5
29,2071,some college,52939,3.9,3.3,4
33,2126,high school,50525,4.0,3.5,4
29,2026,high school,42548,3.8,3.2,5
25,1877,bachelor's degree,51589,3.5,3.5,4
26,1827,some high school,56510,3.2,3.2,6
25,1902,high school,25553,3.5,3.2,7
27,1912,master's degree,70724,3.5,3.2,4
30,2131,associate's degree,88940,4.0,3.8,3
22,1664,some college,40137,3.0,3.2,4
31,2045,associate's degree,59476,3.9,3.4,7
29,2055,bachelor's degree,106859,3.9,3.7,5
29,2063,high school,54045,3.9,3.4,4
30,2023,some college,47102,3.9,3.4,5
28,1972,high school,62737,3.7,3.2,5
34,2304,master's degree,112326,4.0,4.0,3
28,1966,some college,74697,3.6,3.7,4
31,2024,high school,39321,3.9,3.3,5
27,1869,some college,16000,3.5,3.0,5
28,1936,some high school,38230,3.5,3.1,5
28,1915,associate's degree,75073,3.8,3.7,3
30,2233,bachelor's degree,90544,4.0,3.5,4
26,1841,some college,53590,3.5,3.4,6
32,2172,some college,64785,4.0,3.3,5
28,1931,high school,39709,3.6,3.4,7
32,2123,high school,58343,4.0,3.8,3
29,2109,bachelor's degree,93168,4.0,3.2,5
28,1999,some college,58118,3.7,3.1,5
26,1892,high school,74747,3.4,3.2,4
31,2205,high school,49377,4.0,3.5,5
28,1894,some college,66663,3.6,3.4,4
32,2168,some college,94560,4.0,3.4,5
30,1987,high school,40548,3.8,3.3,5
25,1725,some high school,69825,3.1,3.1,5
31,2289,some college,67062,4.0,3.9,4
29,1909,associate's degree,79469,3.7,3.7,3
29,2029,high school,51069,3.7,3.5,4
30,2018,high school,84816,4.0,3.7,4
28,1952,high school,46179,3.6,3.5,4
26,1818,high school,63761,3.2,3.3,5
27,2004,high school,73009,3.7,3.5,4
26,1909,some college,76968,3.6,3.2,6
28,2120,bachelor's degree,100173,4.0,3.6,6
25,1859,associate's degree,85724,3.3,3.4,4
26,1897,high school,64082,3.4,3.5,3
23,1689,high school,36813,2.9,3.2,4
33,2182,some high school,56305,4.0,3.6,5
26,1809,some high school,33182,3.3,3.2,6
27,2094,bachelor's degree,100367,3.8,3.5,5
26,1990,some college,75585,3.6,3.3,7
24,1870,some high school,37774,3.4,3.1,5
29,1982,master's degree,73286,3.9,3.4,4
26,1823,associate's degree,77800,3.3,3.2,5
28,1970,some college,73070,3.6,3.6,4
26,1923,bachelor's degree,100499,3.6,3.0,5
31,2056,high school,41326,3.9,3.2,6
28,2058,master's degree,76060,3.9,3.8,4
23,1579,some high school,62992,2.7,3.1,4
26,1899,some high school,47657,3.5,3.5,5
25,1746,some high school,39880,3.1,3.2,5
27,1927,high school,93780,3.6,3.5,8
26,1970,high school,55943,3.5,3.2,4
28,2016,some college,66824,3.7,3.1,5
29,2133,associate's degree,62463,3.9,3.3,4
28,1986,associate's degree,79800,3.7,3.7,3
26,1953,bachelor's degree,80375,3.5,3.5,3
33,2205,some college,68186,4.0,3.6,4
25,1888,associate's degree,78480,3.3,3.1,7
32,2114,high school,65789,4.0,3.2,5
28,2045,some college,77351,3.8,3.1,5
28,1960,some college,43121,3.8,3.4,4
32,2179,master's degree,92673,4.0,3.7,5
31,2179,associate's degree,104995,4.0,3.6,7
26,1942,associate's degree,72346,3.5,3.1,5
27,1977,some high school,48445,3.6,3.4,5
27,1885,high school,59103,3.5,3.4,6
26,1845,some college,70259,3.3,3.4,4
31,1990,some college,65590,3.9,3.6,7
29,2131,associate's degree,84435,4.0,3.6,4
33,2174,bachelor's degree,76867,4.0,3.4,4
31,2000,some college,58168,4.0,3.5,4
31,2153,bachelor's degree,70000,4.0,3.5,6
23,1875,some high school,49590,3.2,2.5,7
28,2103,some high school,29550,4.0,2.9,10
31,2235,bachelor's degree,71530,4.0,3.4,4
33,2214,master's degree,73587,4.0,3.5,4
32,2166,associate's degree,67060,4.0,3.3,5
24,1771,some college,54205,3.2,3.1,7
29,1918,some high school,35500,3.7,3.0,6
25,1857,associate's degree,70375,3.4,3.3,4
31,2140,bachelor's degree,79253,4.0,3.1,9
26,1860,some high school,59592,3.3,3.3,7
29,2013,some college,91493,3.8,3.5,4
24,1853,some college,44926,3.3,3.4,4
28,1932,high school,67899,3.6,3.2,7
28,1982,some college,32146,3.6,3.0,10
32,2262,some college,51735,4.0,3.5,7
31,2130,high school,68357,4.0,3.4,8
26,1817,associate's degree,67938,3.4,3.3,7
25,1769,high school,57585,3.2,3.5,4
26,1828,some college,60227,3.2,2.8,5
24,1802,associate's degree,75093,3.2,3.0,7
25,1755,some high school,21520,3.2,3.0,5
31,2031,some high school,58466,3.8,3.5,5
23,1832,some college,84391,3.2,3.2,6
26,1983,some college,68278,3.7,3.6,3
30,1996,some college,37158,3.8,3.4,5
32,2178,associate's degree,80905,4.0,3.3,5
31,2115,high school,58238,4.0,3.4,4
27,1842,high school,66215,3.5,3.4,5
30,2033,some high school,52446,3.9,3.6,4
32,2114,some college,69499,4.0,3.3,5
31,2101,master's degree,100412,4.0,3.5,7
30,2024,master's degree,99727,4.0,3.5,6
34,2266,some college,60619,4.0,3.6,4
23,1777,associate's degree,52513,3.2,3.2,4
